player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_unweighted_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_defensive_contribution_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_defensive_contribution_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_defensive_contribution,long_form_bonus,long_form_bps,long_form_unweighted_expected_goals,long_form_unweighted_expected_assists,long_form_unweighted_expected_goals_conceded,long_form_unweighted_defensive_contribution,long_form_unweighted_bonus,long_form_unweighted_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_defensive_contribution,short_form_bonus,short_form_bps,short_form_unweighted_minutes,short_form_bps_90,now_cost,status,season_subs,fbref_starts,fbref_squads_made
515597,Bogarde,Aston Villa,MID,16,0,1,0,207.4,1042.0,0.0,0.0106,1.3074,5.2193,0.1209,245.0,0.0,0.0037,1.2453,4.4082,0.0,1.4247,1.4127,1.5933,1.41,0.0,0.0244,3.0128,12.0277,0.2787,16.9037,0.0,0.2,15.38,60.0,4.0,121.0,7.3353,0.0,0.01,3.3899999999999997,12.0,0.0,14.0,245.0,5.1429,50,a,1,0,1
441302,Maatsen,Aston Villa,DEF,171,2,0,0,306.2,1590.0,0.0601,0.1292,1.4598,7.4832,0.1603,327.0,0.0165,0.1486,1.2413,7.4312,0.2752,1.4247,1.4127,1.5933,1.41,0.2045,0.4394,4.9666,25.4596,0.5453,42.6195,1.26,2.39,26.64,128.0,1.0,242.0,12.527,0.06,0.54,4.51,27.0,1.0,34.0,327.0,9.3578,45,a,0,2,2
184667,Lindelöf,Aston Villa,DEF,180,2,0,0,219.5,942.0,0.0348,0.0091,1.3758,4.8602,0.0,280.0,0.0,0.0096,1.2954,5.1429,0.0,1.4247,1.4127,1.5933,1.41,0.0848,0.0221,3.3554,11.8535,0.0,23.4468,0.28,0.1,15.93,54.0,0.0,124.0,9.6137,0.0,0.03,4.029999999999999,16.0,0.0,25.0,280.0,8.0357,45,a,0,2,2
606798,A.García,Aston Villa,DEF,0,0,0,0,29.7,83.0,0.0,0.0033,2.4779,15.6967,0.0,45.0,0.0,0.0,2.38,18.0,0.0,1.4247,1.4127,1.5933,1.41,0.0,0.0011,0.8177,5.1799,0.0,5.1333,0.0,0.01,2.7399999999999998,10.0,0.0,12.0,15.5555,0.0,0.0,1.19,9.0,0.0,5.0,45.0,10.0,40,a,0,0,0
578545,Nedeljkovic,Aston Villa,DEF,0,0,0,0,,,,,,,,,,,,,,1.4247,1.4127,1.5933,1.41,,,,,,,,,,,,,,,,,,,,,,40,u,0,0,0
195546,Buendía,Aston Villa,MID,175,2,0,0,320.4,1753.0,0.1413,0.1121,1.4587,10.4464,0.4325,288.0,0.15,0.0937,1.6031,11.5625,0.625,1.4247,1.4127,1.5933,1.41,0.5031,0.3989,5.1929,37.1891,1.5396,72.2162,3.38,2.23,28.03,197.0,10.0,382.0,20.2854,0.48,0.3,5.13,37.0,2.0,87.0,288.0,27.1875,60,a,0,2,2
215711,Bailey,Aston Villa,MID,0,0,0,0,131.3,450.0,0.113,0.2572,1.4547,9.9117,0.0,116.0,0.1474,0.194,1.2879,11.6379,0.0,1.4247,1.4127,1.5933,1.41,0.1649,0.3752,2.1223,14.46,0.0,22.2875,0.5,1.4600000000000002,7.03,48.0,0.0,69.0,15.277,0.19,0.25,1.6600000000000001,15.0,0.0,27.0,116.0,20.9483,54,a,0,0,0
122806,McGinn,Aston Villa,MID,171,2,0,0,301.4,2136.0,0.1179,0.2728,1.2829,5.0305,0.2989,329.0,0.0766,0.4897,1.1599,4.3769,0.0,1.4247,1.4127,1.5933,1.41,0.3949,0.9136,4.2963,16.8466,1.001,77.6861,3.0,4.11,33.08,150.0,6.0,443.0,23.1976,0.28,1.79,4.24,16.0,0.0,94.0,329.0,25.7143,54,a,0,2,2
88894,Barkley,Aston Villa,MID,150,2,0,0,270.9,844.0,0.1576,0.1112,1.4243,6.7509,0.5764,378.0,0.1976,0.0381,1.3238,5.2381,0.4762,1.4247,1.4127,1.5933,1.41,0.4744,0.3346,4.287,20.3203,1.7349,59.3344,1.58,1.26,13.2,74.0,5.0,221.0,19.7124,0.8300000000000001,0.16,5.56,22.0,2.0,58.0,378.0,13.8095,50,a,0,2,2
226944,Kamara,Aston Villa,MID,180,2,0,0,90.3,1410.0,0.0417,0.0551,1.3718,9.581,0.4402,0.0,0.0,0.0,0.0,0.0,0.0,1.4247,1.4127,1.5933,1.41,0.0418,0.0553,1.3764,9.6129,0.4417,17.1183,0.53,0.84,20.8,149.0,7.0,282.0,17.0614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,a,0,2,2
