player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_bonus,long_form_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_bonus,short_form_bps,short_form_bps_90,fbref_squads_made
516874,Sagoe,Arsenal,MID,0,0,0,0,,,,,,,,,,,1.4643,0.8265,1.8167,0.7383,,,,,,,,,,,,,0
535262,Walters,Arsenal,DEF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
535264,Ibrahim,Arsenal,MID,0,0,0,0,,,,,,,,,,,1.4643,0.8265,1.8167,0.7383,,,,,,,,,,,,,0
499169,Lewis-Skelly,Arsenal,MID,0,0,0,0,,,,,,,,,,,1.4643,0.8265,1.8167,0.7383,,,,,,,,,,,,,0
499175,Nwaneri,Arsenal,MID,13,0,0,0,1.0,0.0,0.0,0.0,0.0,,,,,,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,3.0,270.0,,,,,,,0
504751,Bandeira,Arsenal,MID,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
503308,Sweet,Arsenal,DEF,0,0,0,0,,,,,,,,,,,1.4643,0.8265,1.8167,0.7383,,,,,,,,,,,,,0
106468,Alex Moreno,Aston Villa,DEF,1024,11,0,0,1325.0,0.04,0.1744,1.2112,0.3396,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.5883,2.56685,17.8315,5.0,278.0,18.883,0.0,0.0,0.0,0.0,0.0,0.0,11
215711,Bailey,Aston Villa,MID,2063,22,0,0,2232.0,0.1997,0.151,1.0865,0.3629,115.0,0.9548,0.313,1.5887,0.0,1.1543,0.9972,1.9867,1.175,4.9515,3.7445600000000003,26.9451,9.0,342.0,13.7903,1.22,0.4,2.0300000000000002,0.0,53.0,41.4783,22
195546,Buendia,Aston Villa,MID,0,0,0,0,2404.0,0.1485,0.1251,0.9459,0.2995,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,3.9669000000000003,3.34245,25.2648,8.0,370.0,13.8519,0.0,0.0,0.0,0.0,0.0,0.0,0
199796,Cash,Aston Villa,DEF,2138,23,0,0,2692.0,0.1049,0.0511,0.8627,0.234,519.0,0.1682,0.1509,1.1341,0.1734,1.1543,0.9972,1.9867,1.175,3.1389,1.5293700000000001,25.805,7.0,488.0,16.315,0.9700000000000001,0.87,6.54,1.0,104.0,18.0347,23
101184,Chambers,Aston Villa,DEF,149,1,0,0,345.0,0.036,0.0502,1.3234,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.138,0.19246000000000002,5.073,0.0,67.0,17.4783,0.0,0.0,0.0,0.0,0.0,0.0,1
84583,Coutinho,Aston Villa,MID,24,0,0,0,801.0,0.0584,0.0391,0.419,0.1124,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.5202,0.34803999999999996,3.7291,1.0,105.0,11.7978,0.0,0.0,0.0,0.0,0.0,0.0,0
221239,Davis,Aston Villa,FWD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
151589,Dendoncker,Aston Villa,MID,118,1,0,0,900.0,0.003,0.0102,0.7389,0.0,3.0,0.0,0.0,15.3,0.0,1.1543,0.9972,1.9867,1.175,0.03,0.10226,7.3891,0.0,170.0,17.0,0.0,0.0,0.51,0.0,7.0,210.0,1
165659,Diego Carlos,Aston Villa,DEF,1809,20,0,0,466.0,0.0715,0.0212,0.7764,0.0,101.0,0.0,0.0089,1.3901,0.0,1.1543,0.9972,1.9867,1.175,0.37,0.11,4.02,0.0,63.0,12.1674,0.0,0.01,1.56,0.0,16.0,14.2574,20
101188,Digne,Aston Villa,DEF,2405,27,0,0,2382.0,0.0154,0.1053,1.06,0.2267,540.0,0.02,0.1467,1.175,0.0,1.1543,0.9972,1.9867,1.175,0.4068,2.78808,28.0536,6.0,399.0,15.0756,0.12000000000000001,0.88,7.05,0.0,87.0,14.5,27
230046,Douglas Luiz,Aston Villa,MID,2994,35,0,0,3770.0,0.1368,0.0792,1.0445,0.6446,539.0,0.369,0.1135,1.1254,1.6698,1.1543,0.9972,1.9867,1.175,5.7312,3.31645,43.7521,27.0,837.0,19.9814,2.21,0.6799999999999999,6.74,10.0,172.0,28.7199,35
476344,Duran,Aston Villa,FWD,461,3,0,0,194.0,0.6124,0.0139,2.3196,1.3918,31.0,0.2903,0.0,1.8581,2.9032,1.1543,0.9972,1.9867,1.175,1.32,0.03,5.0,3.0,70.0,32.4742,0.1,0.0,0.64,1.0,22.0,63.871,3
123354,Hause,Aston Villa,DEF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
490094,Iroegbunam,Aston Villa,MID,157,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
226944,Kamara,Aston Villa,MID,1653,20,0,0,2617.0,0.0058,0.043,1.2301,0.0344,484.0,0.0,0.0688,1.032,0.0,1.1543,0.9972,1.9867,1.175,0.1691,1.2514,35.7688,1.0,362.0,12.4494,0.0,0.37,5.55,0.0,70.0,13.0165,20
199798,Konsa,Aston Villa,DEF,3069,35,0,0,4222.0,0.0281,0.0124,1.0089,0.1705,540.0,0.1167,0.0367,1.175,0.3333,1.1543,0.9972,1.9867,1.175,1.32,0.57942,47.3276,8.0,809.0,17.2454,0.7,0.22,7.05,2.0,103.0,17.1667,35
98980,Martinez,Aston Villa,GK,3015,34,0,0,3949.0,0.0,0.0048,0.9331,0.4102,540.0,0.0,0.0,1.175,0.1667,1.1543,0.9972,1.9867,1.175,0.0,0.21244,40.9441,18.0,838.0,19.0985,0.0,0.0,7.05,1.0,95.0,15.8333,34
122806,McGinn,Aston Villa,MID,3000,35,0,0,3529.0,0.0755,0.0789,0.9217,0.153,504.0,0.0929,0.1321,1.1321,0.1786,1.1543,0.9972,1.9867,1.175,2.959,3.09545,36.1395,6.0,502.0,12.8025,0.52,0.7400000000000001,6.34,1.0,86.0,15.3571,35
149484,Mings,Aston Villa,DEF,30,1,0,0,3180.0,0.0269,0.016,0.8624,0.4811,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.95,0.56507,30.4706,17.0,622.0,17.6038,0.0,0.0,0.0,0.0,0.0,0.0,1
111782,Olsen,Aston Villa,GK,405,4,0,0,370.0,0.0,0.0008,1.5583,0.2432,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.00313,6.406499999999999,1.0,74.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4
481624,Philogene,Aston Villa,MID,3,0,0,0,3.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.65,0.0,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0
232653,J.Ramsey,Aston Villa,MID,848,8,0,0,2682.0,0.1419,0.0804,0.8933,0.4362,48.0,0.3562,0.075,1.3688,0.0,1.1543,0.9972,1.9867,1.175,4.2279,2.39496,26.6207,13.0,491.0,16.4765,0.19,0.04,0.73,0.0,21.0,39.375,8
122775,Sanson,Aston Villa,MID,0,0,0,0,10.0,0.0,0.0067,3.6189,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.00074,0.4021,0.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0
248164,Sinisalo,Aston Villa,GK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
166989,Tielemans,Aston Villa,MID,1613,17,0,0,2501.0,0.0521,0.0394,1.1124,0.2159,66.0,0.1091,0.1227,2.0864,0.0,1.1543,0.9972,1.9867,1.175,1.449,1.09433,30.9122,6.0,511.0,18.3886,0.08,0.09,1.53,0.0,32.0,43.6364,17
110504,Bertrand Traoré,Aston Villa,MID,10,0,0,0,236.0,0.286,0.0458,0.9229,0.3814,1.0,0.0,0.0,28.8,0.0,1.1543,0.9972,1.9867,1.175,0.75,0.12,2.42,1.0,63.0,24.0254,0.0,0.0,0.32,0.0,3.0,270.0,0
178301,Watkins,Aston Villa,FWD,3222,37,0,0,3989.0,0.372,0.0557,0.9423,0.7445,540.0,0.5533,0.2033,1.1433,1.3333,1.1543,0.9972,1.9867,1.175,16.4867,2.4698,41.7646,33.0,796.0,17.9594,3.3200000000000003,1.22,6.859999999999999,8.0,207.0,34.5,37
213345,Wesley,Aston Villa,FWD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
244954,Pau,Aston Villa,DEF,2462,27,0,0,869.0,0.0435,0.0228,1.3764,0.4143,540.0,0.065,0.0317,1.175,0.6667,1.1543,0.9972,1.9867,1.175,0.42000000000000004,0.22,13.29,4.0,169.0,17.5029,0.39,0.19,7.05,4.0,105.0,17.5,27
243557,Diaby,Aston Villa,MID,2168,25,0,0,793.0,0.2304,0.2077,1.3438,0.5675,482.0,0.1979,0.2539,1.055,0.5602,1.1543,0.9972,1.9867,1.175,2.03,1.83,11.84,5.0,186.0,21.1097,1.06,1.36,5.65,3.0,105.0,19.6058,25
549068,Kellyman,Aston Villa,MID,35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
462381,Marschall,Aston Villa,GK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
245414,Zaniolo,Aston Villa,MID,824,9,0,0,376.0,0.2992,0.1245,1.1992,0.0,334.0,0.2802,0.1105,1.1775,0.0,1.1543,0.9972,1.9867,1.175,1.25,0.52,5.01,0.0,-4.0,-0.9574,1.04,0.41000000000000003,4.37,0.0,-8.0,-2.1557,9
516159,Zych,Aston Villa,GK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
171101,Lenglet,Aston Villa,DEF,1153,14,0,0,2018.0,0.0175,0.0227,0.9331,0.2676,0.0,0.0,0.0,0.0,0.0,1.1543,0.9972,1.9867,1.175,0.3932,0.51008,20.923099999999998,6.0,387.0,17.2597,0.0,0.0,0.0,0.0,0.0,0.0,14
564505,Proctor,Aston Villa,GK,0,0,0,0,,,,,,,,,,,1.1543,0.9972,1.9867,1.175,,,,,,,,,,,,,0
515599,O'Reilly,Aston Villa,MID,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
481283,Wright,Aston Villa,GK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
465390,Kesler-Hayden,Aston Villa,DEF,5,0,0,0,,,,,,,,,,,1.1543,0.9972,1.9867,1.175,,,,,,,,,,,,,0
244850,Rogers,Aston Villa,MID,636,8,0,0,,,,,,,,,,,1.1543,0.9972,1.9867,1.175,,,,,,,,,,,,,8
462492,Gauci,Aston Villa,GK,0,0,0,0,,,,,,,,,,,1.1543,0.9972,1.9867,1.175,,,,,,,,,,,,,0
521966,Munroe,Aston Villa,DEF,3,0,0,0,,,,,,,,,,,1.1543,0.9972,1.9867,1.175,,,,,,,,,,,,,0
