player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_defensive_contribution_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_defensive_contribution_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_defensive_contribution,long_form_bonus,long_form_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_defensive_contribution,short_form_bonus,short_form_bps,short_form_bps_90,fbref_squads_made
151589,Dendoncker,Aston Villa,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
559962,Jimoh-Aloba,Aston Villa,MID,8,0,0,0,8,0.0,0.0,6.8625,11.25,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.61,1.0,0,3,33.75,0.0,0.0,0.0,0,0,0,0.0,0
537403,Young,Aston Villa,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
178301,Watkins,Aston Villa,FWD,2833,33,0,0,5426,0.5062,0.0539,1.3603,1.5592,0.962,458,0.8902,0.0236,1.1653,2.3581,2.3581,1.453,1.3926,1.5933,1.41,30.52,3.25,82.01,94.0,58,1254,20.7999,4.53,0.12,5.93,12,12,235,46.179,33
576756,Redmond,Aston Villa,FWD,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
444884,Elliott,Aston Villa,MID,110,1,0,0,469,0.3972,0.1382,1.5122,1.1514,0.5757,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,2.07,0.7200000000000001,7.88,6.0,3,137,26.29,0.0,0.0,0.0,0,0,0,0.0,1
209243,Sancho,Aston Villa,MID,863,9,0,0,2617,0.0942,0.1709,1.2989,1.5132,0.1032,111,0.0,0.0405,2.2946,4.8649,0.0,1.453,1.3926,1.5933,1.41,2.74,4.97,37.77,44.0,3,508,17.4704,0.0,0.05,2.83,6,0,14,11.3514,9
481283,Wright,Aston Villa,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
230046,Douglas Luiz,Aston Villa,MID,913,12,0,0,913,0.0522,0.14,1.3051,10.3505,0.0,99,0.0273,0.0364,1.6636,11.8182,0.0,1.453,1.3926,1.5933,1.41,0.53,1.42,13.24,105.0,0,220,21.6867,0.03,0.04,1.83,13,0,33,30.0,12
569577,Rowe,Aston Villa,DEF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
645618,Burrowes,Aston Villa,MID,16,0,0,0,16,0.0,0.0,5.0625,5.625,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.9,1.0,0,3,16.875,0.0,0.0,0.0,0,0,0,0.0,0
564505,Proctor,Aston Villa,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
534836,Patterson,Aston Villa,DEF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
184667,Lindelöf,Aston Villa,DEF,942,11,0,0,1637,0.0154,0.0104,1.3481,2.9688,0.0,280,0.0,0.0096,1.2954,5.1429,0.0,1.453,1.3926,1.5933,1.41,0.28,0.19,24.52,54.0,0,224,12.3152,0.0,0.03,4.029999999999999,16,0,25,8.0357,11
577285,George Hemmings,Aston Villa,MID,25,0,0,0,25,0.144,0.036,2.196,3.6,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.04,0.01,0.61,1.0,0,5,18.0,0.0,0.0,0.0,0,0,0,0.0,0
516875,Hollingshead,Aston Villa,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
664015,Leon Routh,Aston Villa,DEF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
618027,Carroll,Aston Villa,DEF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
653481,Alysson,Aston Villa,MID,47,0,0,0,47,0.0957,0.0957,3.5809,7.6596,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.05,0.05,1.87,4.0,0,11,21.0638,0.0,0.0,0.0,0,0,0,0.0,0
173879,Abraham,Aston Villa,FWD,278,2,0,0,278,0.6637,0.1165,1.6576,4.2086,0.6475,79,0.9,0.0,2.8823,4.557,0.0,1.453,1.3926,1.5933,1.41,2.05,0.36,5.12,13.0,2,93,30.1079,0.79,0.0,2.53,4,0,36,41.0127,2
518030,Weiss,Burnley,GK,270,3,0,0,270,0.0,0.0,1.6067,0.0,0.0,270,0.0,0.0,1.6067,0.0,0.0,0.8841,2.0241,0.904,2.0,0.0,0.0,4.82,0.0,0,39,13.0,0.0,0.0,4.82,0,0,39,13.0,3
489571,Green,Burnley,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8841,2.0241,0.904,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
51943,Hladký,Burnley,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8841,2.0241,0.904,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
192290,Roberts,Burnley,DEF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8841,2.0241,0.904,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
58621,Walker,Burnley,DEF,3095,35,0,0,4061,0.006,0.0583,1.9234,4.6984,0.0665,540,0.005,0.0467,1.865,5.0,0.0,0.8841,2.0241,0.904,2.0,0.27,2.63,86.78999999999999,212.0,3,305,6.7594,0.03,0.28,11.19,30,0,39,6.5,35
